path,size_bytes,sha256
data/folds/cv_5x5_tspdt_f200_pps__GSE10072.csv,94372,4739cb9565da74768b545052ce16cf4776f63fdaf8aac57b958c71b0331c7b9a
data/folds/cv_5x5_tspdt_f200_pps__GSE17920.csv,126557,4d2978453d20084772a402b5f986b7418940cd89afe04ba30e1834dca443e13a
data/folds/cv_5x5_tspdt_f200_pps__GSE19804.csv,105957,788c8993afc8507d1e82ce0d97f24ce0a4aabac2d64fcc94947edb8797618f46
data/folds/cv_5x5_tspdt_f200_pps__GSE25837.csv,90292,1632c950673426b63280e61c7a28c1b2511abe6df14342567a15ac063c3e3a75
data/folds/cv_5x5_tspdt_f200_pps__GSE27272.csv,176642,61ee7ebef0212c181671087580ca8c45fc4f931155c35a5a74c14100f519548c
data/folds/cv_5x5_tspdt_f200_pps__GSE3365.csv,100997,cbcb80d4e5e75ed6d657dbe13f54770c2de4b0f3a239f977e5807e1bfecc0181
data/folds/cv_5x5_tspdt_f200_pps__GSE6613.csv,96532,024f74886fda1f41b7f044ad6ebe033201142c97ac73f4776b93d91d11bc0543
data/folds/smoke_2x2__GDS2771.csv,26865,a9dfff379b38b2e21aa48774ec4194c4faa8e768d444c327f1f581a47ad43edb
data/folds/smoke_2x2__GDS2771__balance_check.csv,377,f72abb6cd0781edff48b56e7acf0203fb86ec27cb60778ab34b5446197f79587
data/folds/smoke_2x2__GSE10072.csv,15019,d20721410eeb10e3324e5658d2c0002d630b5ed9a865d1f8fd52ca9ceb0c3f97
data/folds/smoke_2x2__GSE10072__balance_check.csv,345,f7c313db4ab2df5844d339e1c2c186f02fcb7be1f74010e6bc92e9bc1091a526
data/folds/smoke_2x2__GSE17920.csv,20141,7abefcaf3cb43c24b39eb10cc5201ef33a10e8af5a5acfa6e6aad6f0678c3e13
data/folds/smoke_2x2__GSE17920__balance_check.csv,393,f3a56152862e9797504d2500f8ca99a195c0b53a9984b1f2f1dfa10721dfcf92
data/folds/smoke_2x2__GSE19804.csv,16857,d0199faaadfdb1a4ac6437403acd5f05d7daa16f4eda091e6a0d2279bb0417ca
data/folds/smoke_2x2__GSE19804__balance_check.csv,345,733adeaac117675c6a7ad6f1f069465a8f5d0c162fa5eb3f173e3cc565cf9a83
data/folds/smoke_2x2__GSE25837.csv,14383,3d80611f76e644f821cdc4722e14c4270205e124a54bf4d72621c892970687bb
data/folds/smoke_2x2__GSE25837__balance_check.csv,385,aba65eb12024a78654312c87f1b292ce08c81fec2cd1e8c20ad4bf045eac7a6b
data/folds/smoke_2x2__GSE27272.csv,28091,385c295c8eca7325c36f72b40e7f1d6d5df91c0c3dc04f5afa096350934fd368
data/folds/smoke_2x2__GSE27272__balance_check.csv,385,6f51968102e0969196643b5ebabac3be8b4402a25562f023c6a45591c02a0c5a
data/folds/smoke_2x2__GSE3365.csv,16055,3c6e3deedb00a27004c5857a3a37edd114c0249d09d3cafcc4d6823ff08934a6
data/folds/smoke_2x2__GSE3365__balance_check.csv,329,a7fd7ae10c3da8666ade3a301775e33be86b7e9d64b6c97d68e771b49ff6b7fb
data/folds/smoke_2x2__GSE6613.csv,15367,aec188ac66a1f92da44e56078e348de6314de1734b991eb3df56fec882fd7c17
data/folds/smoke_2x2__GSE6613__balance_check.csv,385,3827c5426b83c24863b9d1140f23ea7203de16e79cd79427a614863fd09c6656
data/manifests/GDS2771_final_manifest.json,761,f98691290d594916ef193d2630d9e82a8646749bdbb25b7b3464fbfb028ac558
data/manifests/GDS2771_label_audit.csv,1962,8c0807beaa17cf0b82104090f593a01415b29df049410086d18bd8c9e2445dce
data/manifests/GDS2771_manifest.json,517,74afb709257b4d56662db417a7ae4bba3d6633adb6a23192a6178486ed1a3a46
data/manifests/GSE10072_final_manifest.json,727,6f687cc16b823368ee9d4b61bfdac3ff7baa89114db82a962af9de75ef85889f
data/manifests/GSE10072_label_audit.csv,2856,b60c51c1e8dc986430478a8a1e3123d8e21037c1b54ee751c3a39a04babf8a99
data/manifests/GSE10072_manifest.json,694,9ed4055fb3743d1909f950b2435285a3ae9ce2cac2071f659486ab8d825588b0
data/manifests/GSE17920_all_metadata_columns.csv,12999,a3ba4fc351171fe8eb720522aea9e33894a48f4a4483a4c98a75c9e03c1a733f
data/manifests/GSE17920_final_manifest.json,764,214e4d7ca99357b8bf34d90f252f09911781c739b37d20dba2795bffa535990b
data/manifests/GSE17920_label_audit.csv,5996,7ae2d59c2e69f204c3aaf28d3c54d18f8c4066e2fa8f882a5b745a697231cfa5
data/manifests/GSE17920_manifest.json,876,a8bf7b3a96d22ee295d1cbc46f97e7aae14e9cfacd140dfefea7f6216ecbf33e
data/manifests/GSE19804_final_manifest.json,716,dfde648296a046b3b72a8fc6c968f9d99586ea741a426c49a3909e4550868f56
data/manifests/GSE19804_label_audit.csv,2855,e1490673c613d58ed2b519264d7eaedf8f0f9be087d286b0a29277ef8294e2cd
data/manifests/GSE19804_manifest.json,652,da8c532c8be91bdba7ce69164051a2575003a628c3ce18807e0468009624e9c0
data/manifests/GSE25837_final_manifest.json,698,1056c3eb62c22984df112041c24c02e9a0f619bac06a3865d2ea8e5b82692bec
data/manifests/GSE25837_label_audit.csv,4705,cc144b44e4d687b6a43786d4f2d88482ddedcf23e859a4bfe0aed98abaf5d0e5
data/manifests/GSE25837_manifest.json,813,08324fc361d987bcc78691f238e8a68a4480f62b648cd05857af7ccf4b7a0d34
data/manifests/GSE27272_final_manifest.json,711,4d81a9c793bb6482997358ee85fc1796346477e06ea1aef967d85498179b787f
data/manifests/GSE27272_label_audit.csv,7277,6c450ec45314e31826584c2006fa9ee43d3b2bf6948c78f92787064d5c69175a
data/manifests/GSE27272_manifest.json,919,4a04a454a9feac47d4a026c4796928d557a5831b0f8662930eeaf6b4080e2a70
data/manifests/GSE3365_all_metadata_columns.csv,5519,937a578f1a37047b72816d87e3d41e51843f917e21f8622160bd9bddf5da87bb
data/manifests/GSE3365_final_manifest.json,829,beb7266735e9a924a173993ff382e01894f66da79047e0cde1fc80e7292dba7b
data/manifests/GSE3365_label_audit.csv,3089,c4132cae423735644e94a084da15de2de6930f875dad0a8dfd5c4645e1c26d8b
data/manifests/GSE3365_manifest.json,602,e919eaef2ef4e6493d9d23eae624e92b2c6629443788b15e0b1b25bddd32445d
data/manifests/GSE6613_all_metadata_columns.csv,6154,d3f260ce04b404e8408c1ca2e00ef07e15bdf0a6e7b6733cc0308b15e2b43e77
data/manifests/GSE6613_final_manifest.json,800,c698c534203cebbe4fe7654e9445e917a4c670fed9a512cf88d20a3249d0804c
data/manifests/GSE6613_label_audit.csv,1896,a9d47dbde8d270a7ede9198e17e124e60f244faa61695ec9111818dc780a59dd
data/manifests/GSE6613_manifest.json,557,8b3725228e2530c29d885ef5eaa81896991c4b41d15cece916d2c79cc999469d
data/manifests/cv_10x10_fold_manifest.json,277,05b2dc08738bc1f224b170f744bfe888df10bea1986ba0437422c7e5014c24de
data/manifests/cv_10x10_fold_summary.csv,1145,2d2fb81238faff52dd97661ca751086a9bffe15de07c517c88b50ac4738e4166
data/manifests/cv_5x5_f200_fold_summary.csv,772,7e3d2f27fc4067c9ce8aff9a041b6dea0bcbd0b76908dc78a9261b51249f0334
data/manifests/cv_5x5_tspdt_f100_fold_summary.csv,868,dd7722e415e8ccd4af0ea067137e3bb7297b5cf5f804fb3fd1be58d7723d399b
data/manifests/cv_5x5_tspdt_f200_pps_fold_summary.csv,932,80cae6cac4395fb5c5420f660759fc59adb70746853930f76d82094b5e64531d
data/manifests/dataset_download_summary.csv,652,b5e494d88e663a388682cffabd5e98beeaa8750723f6ac3acdf4b8f2203099ad
data/manifests/file_manifest_sha256.csv,18528,a0ba302020bd9fce088e7db5e84e54a9f47c65ced995b6ab95223d6e94306247
data/manifests/final_dataset_summary.csv,496,4d90658978f848c11aa8f9608e0407387dceeda43cab48241192c452abfbab14
data/manifests/label_audit_summary.csv,30097,229e0a773ffd351a5834eea847d3b1b08b96d8ba1c6ab67c42b3878b481eea4c
data/manifests/manual_label_mapping_template.csv,538,100dce111cced4e8c1997c829e07b0f977caffa82a8dd0d721b6c2d8b5805e67
data/manifests/smoke_2x2_fold_manifest.json,277,e3ebdd13c902429954801b386644d5e8e76950b586d1ee95b0b585e8e4c93062
data/manifests/smoke_2x2_fold_summary.csv,1153,0abddd24feb64b12a75c3b4007b14dd3a9b72f10a2a12ed01687e1d839fd2921
data/manifests/unresolved_label_inspection_summary.csv,434,a1e81b53cecd7a7ca74be8646faf6afd64bbe83c1a2d61d1e6ff8a4738451c3b
data/processed/GDS2771/candidate_label_columns.txt,26,56ae4232cafffa8ecd0c9b84179c05a467232ba5c50e071dc84ccad8cde87ad8
data/processed/GDS2771/expression_matrix_features_x_samples.csv,33908001,8c6b4cb8c581b5d2a11c99267b689a4abca73d5240bfca7ac62f038e9a40ae55
data/processed/GDS2771/gds_columns.csv,20462,ae4ed68bd1f61060adc8e3ad623255d894bb8c6495449adc230660d2c699dbca
data/processed/GDS2771/gds_meta.json,2943,641678b7cd6f0fdb4100729c3b4dacbbfd060c953f3fa6679dac6351d23c1156
data/processed/GDS2771/gds_table.csv,34054440,a7b0284e3dabedc8fd0b0faae958dbb4c16b59832bb0e7a4e9cc1684d1c938e3
data/processed/GSE10072/candidate_label_columns.txt,177,43ed9b7bff93ea5789c7c087566e031426769eb11400a3d924ba38b2d91a9cfd
data/processed/GSE10072/expression_matrix_features_x_samples.csv,28591087,9c7444c6034edc53747c7134ea285b1005b5fd0437af984983ad9abbf6db656d
data/processed/GSE10072/feature_annotation.csv,243848,3b75024dd9bdd2b8ea5fbab379d4563b0be60d5e8e86b8cef0f988ff192fc931
data/processed/GSE10072/sample_metadata.csv,134583,002d64f7654ebd1c36f704f281e5e8229ff23d9c49561ea53d4486cdc4d77a2b
data/processed/GSE17920/candidate_label_columns.txt,335,83c847ec4bbb5cfde27dbae510c99ade50eb775de5faa5b9a64c6d402280b0f2
data/processed/GSE17920/expression_matrix_features_x_samples.csv,49618513,70db0088017ee66632dda6cc0312f390123a34556d223389edea39847c6c5043
data/processed/GSE17920/feature_annotation.csv,591241,c3d68a6cc2b707354a68c2b783e6c3ba481e27ca318e0ffc972f0b0e8dfcc249
data/processed/GSE17920/sample_metadata.csv,199645,b0d4ebf31dfdf691bb81ed3658b81a02d3049bb50d218e8e7e0ac57853fb1a6a
data/processed/GSE19804/candidate_label_columns.txt,138,d6ff0d3d03c8cdc30d96db540c24a7e9412863c75837040fd998583643fb8f84
data/processed/GSE19804/expression_matrix_features_x_samples.csv,52349572,bcc56820d8b01e22076ec6797c711fa16c0efa5c9fcb996379c3bcc408bedacf
data/processed/GSE19804/feature_annotation.csv,591241,c3d68a6cc2b707354a68c2b783e6c3ba481e27ca318e0ffc972f0b0e8dfcc249
data/processed/GSE19804/sample_metadata.csv,171957,79857e28db3db147fb0ccc582f44f66ff51ceee6ad597459c4ecc0055e2b31b2
data/processed/GSE25837/candidate_label_columns.txt,282,b5d58f28acf3255927e2f5db38648228527c13fec50cb977813dd5ac3522eb3b
data/processed/GSE25837/expression_matrix_features_x_samples.csv,14261673,b22443cd081b1d09d0d761e69f95ca4c0b6e45464b0e3fdb14b5d1cc80ae48c3
data/processed/GSE25837/feature_annotation.csv,242201,31b0c5cc10af7bb68a2edda306edcb250de2197941f97463637349a34289d4a3
data/processed/GSE25837/sample_metadata.csv,105625,efe9069d2ed84028f460ebe558447bb1b2afa9ad9578219c387adfaf814823c2
data/processed/GSE27272/candidate_label_columns.txt,372,6c64992a38fdc76ca45662d5a318b4d53509ece5741f2ba3266c02e0c20bf784
data/processed/GSE27272/expression_matrix_features_x_samples.csv,53675836,4310a665c221a1589e3a61b74c1cb1d849f0aa6f0a56c50737668f876af59758
data/processed/GSE27272/feature_annotation.csv,318849,841aeb24c8faafcdca2540034330661c0ee2a89881d93e03746b1cb6ee7c6072
data/processed/GSE27272/sample_metadata.csv,457941,47e6caa0ee027208cc60f8429aabbbb6f15f03a516f7e23d2e874c996c54ec8f
data/processed/GSE3365/candidate_label_columns.txt,97,0f6a36ae284b38fc23c76c014e4337b942fcfd2865c025fc14e45f27df839ba8
data/processed/GSE3365/expression_matrix_features_x_samples.csv,28337609,300c20a06516b7bf1cfa24eda9156fac6f8cfbfc69f0301c543d50910ff4df9d
data/processed/GSE3365/feature_annotation.csv,243848,3b75024dd9bdd2b8ea5fbab379d4563b0be60d5e8e86b8cef0f988ff192fc931
data/processed/GSE3365/sample_metadata.csv,64642,5767a6c33465f9ee59cbb5effd3b5ad7aa782824ac65ed8b4b26f8c8c0b003a4
data/processed/GSE6613/candidate_label_columns.txt,61,89ce7b25a954804d18757f211c4a30df9af4fa01827921e937dfccbcfba21bf7
data/processed/GSE6613/expression_matrix_features_x_samples.csv,11817487,bdf56815748d14c20d750939dcd3f6c6fa92c122554b69e5a4c54b818b4eb5ec
data/processed/GSE6613/feature_annotation.csv,243848,3b75024dd9bdd2b8ea5fbab379d4563b0be60d5e8e86b8cef0f988ff192fc931
data/processed/GSE6613/sample_metadata.csv,88651,eb51f748ab9741f3658ae24540147d2c47f2554e57bc050e82f5fb0d36027b04
data/processed/README.md,154,ba54b298c75efe0023b8c843acc6d63078ed3155110a2ee5a99da5957ccd7d33
data/raw/GDS2771/GDS2771.soft.gz,14231879,cff168eb7d99c9c715f026697fdf06acc016fb9012e4a20414bec8722b771414
data/raw/GDS2771/GDS2771_GEOquery_raw.rds,19724916,301071371a7afd7d63f383c28feed59153214a70a8c5fb19d90d107343198c7c
data/raw/GSE10072/GSE10072_GEOquery_raw.rds,17772756,6ed4cf2c88ed52b9f8ed5899ae3eb465baae50f0bd06d2b1bce2a1a07ef90fec
data/raw/GSE10072/GSE10072_series_matrix.txt.gz,13021909,68fc224d6c23b1802ddc2223a0433c8cf25f11cdb9606e33736f4a0c098496af
data/raw/GSE17920/GSE17920_GEOquery_raw.rds,22582344,9bb1cd414cc13edc21470684df056dfd19dd8bfdc990a2bc091b3a20ddff5686
data/raw/GSE17920/GSE17920_series_matrix.txt.gz,18738213,50b05e3c4beccdedb230c87877c787b3a1ec27ca2c57154c6dee2d73aac3d0a9
data/raw/GSE19804/GSE19804_GEOquery_raw.rds,30451314,e9c2ff4ed22d1a8c616e2b6918395b9b0fe719fd831b06a545712a3fc5d9ca86
data/raw/GSE19804/GSE19804_series_matrix.txt.gz,21530998,e96b0974243acd941824aeae9db13cbfc30663b45cbd9342bb14dad0d1372e91
data/raw/GSE25837/GSE25837_GEOquery_raw.rds,6570765,4dec7f1583cd87022cb828d6e0cf6ad818520b5d4cc00787e2f166b46049827b
data/raw/GSE25837/GSE25837_series_matrix.txt.gz,6028160,65982cdfb1514302772cfbc8babf6970c34d34abf674ac1aaa82bf71f644bb0e
data/raw/GSE27272/GSE27272_GEOquery_raw.rds,17317546,04c47324d5a7a1a8ebc56bb5eea6ca27cd5200f9d6adfd7cb599f7430a06cf04
data/raw/GSE27272/GSE27272_series_matrix.txt.gz,24281524,1c3619f63b3d9d8ff0d003e5577eec739dbd6a20d700ff32af63b640ab07a473
data/raw/GSE3365/GSE3365_GEOquery_raw.rds,17932264,0b9b759c47b445f26f36b46690720b7831514568daa1f51296094276c287203c
data/raw/GSE3365/GSE3365_series_matrix.txt.gz,13380613,853cb91178b81a0505c3fedd9510362fa53bfa0738c74e3fdd0a4736621631e6
data/raw/GSE6613/GSE6613_GEOquery_raw.rds,5684538,843c2bb5f973e436a5a909079553d0908149594511ba116ccfdd29c606700f4e
data/raw/GSE6613/GSE6613_series_matrix.txt.gz,4417660,9ad2f4a18690f462f554f9cf70dd5666c022d4720603fc01d75224155b8dc5e9
data/raw/README.md,279,8240861d70e2ade6286a4980989009f2371ae598a1e0a89e13f5a62f7c337646
